"sampItr","time2converge","timeunits","noItr2converge","error","alpha_zip1_1","alpha_zip1_2","alpha_zip1_3","alpha_zip2_1","alpha_zip2_2","alpha_zip2_3","beta_zip1_1","beta_zip1_2","beta_zip2_1","beta_zip2_2","sigma2_1","sigma2_2","sigma2_3"
"1","22.5510458985964","mins","143","0.00356141982294852","0","0.359015649465703","0.717900808501333","-2.38427878437398","-2.66898774872608","-2.98636562053353","0.723261062724946","-0.241529041940499","0.143963954241859","-1.49328879631809","4.85404618398724","3.95726012278609","5.69140057121089"
"2","4.89394251505534","mins","31","0.0047354527098474","0","0.270026236723629","0.356351797169686","0.386579690795677","0.172217282407062","-0.0190326023567613","0.327520011369454","-0.439181901981973","0.529662239736238","-0.47297074916473","2.66137411565497","2.59936885035836","2.5228655620588"
"3","6.35029896497726","mins","40","0.00371680258958992","0","0.16396171532553","0.346190718541653","1.59397146607016","1.3645066720287","1.23826561003992","0.537427507611211","-0.011880771624895","-0.151695246365804","-0.865663444968983","1.85228021967247","1.18575126983627","1.4073998680933"
"4","7.43853451808294","mins","47","0.00498923957321553","0","0.213554069685697","0.339905505646202","1.65463595849232","1.48072846672608","1.34903364203611","0.82327713224897","0.134818213945626","-0.269249852883184","-1.1587910954655","2.62044701994276","1.92305099381694","2.00817553810611"
"5","31.441013832887","mins","200","0.00394933117797266","0","0.236999916444596","0.679312924574244","-14.5479306688199","-14.6944410334312","-15.0036812073751","0.811360986157754","-0.236375551886649","-0.672055762552675","-2.34932704285272","4.81904515401782","5.03098564695584","9.34164485915358"
"6","6.27205683390299","mins","40","0.00461753038869769","0","0.124246448384376","0.261286182036001","0.588144654157033","0.422573017950529","0.319270728927706","0.587050683888861","0.157736251640721","-0.0615756139283783","-0.73639410191696","1.06249087046084","1.26496852122275","0.928087742200893"
"7","5.62373871803284","mins","36","0.00421606039103176","0","0.118014912763646","0.279717365884628","-0.225469074351703","-0.324594781247688","-0.519850666935613","0.584369141546944","-0.0726895276757007","-0.0787572595929396","-1.16261324864566","1.45637024112486","1.61174982730009","1.57330944521281"
"8","34.2677205840747","mins","219","0.00476458513162706","0","0.88814265814195","1.5078130287119","-10.3265889279509","-11.118535151804","-11.9850756210669","2.09215197540979","-0.260145805507433","-0.931818551142609","-3.96358545378328","28.2479480968278","18.9740763780803","37.376150136085"
"9","5.33740921815236","mins","34","0.0043026510725317","0","0.141790388729172","0.316474999688747","0.252760596098908","0.170438681597609","-0.0347791321191465","0.435229284910642","-0.0405324380828004","0.0707311195054237","-0.714830962870484","1.70230416650764","1.90977417460517","1.7165108975043"
"10","2.53561098178228","mins","16","0.00376430183559551","0","0.134822266235756","0.199120286485859","0.23633047107853","0.0752756412754618","-0.0495784344241356","0.302938830619796","0.0112148713593996","0.153435173061424","-0.585982144388656","1.09460341476311","1.04891587051651","1.00547780911126"
