"sampItr","time2converge","timeunits","noItr2converge","error","alpha_zip1_1","alpha_zip1_2","alpha_zip1_3","alpha_zip1_4","alpha_zip1_5","alpha_zip2_1","alpha_zip2_2","alpha_zip2_3","alpha_zip2_4","alpha_zip2_5","beta_zip1_1","beta_zip1_2","beta_zip2_1","beta_zip2_2","sigma2_1","sigma2_2","sigma2_3","sigma2_4","sigma2_5"
"1","15.9409634510676","mins","40","0.00428999483123697","0","0.182466961260579","0.238607038427381","0.367134156776733","0.482899384903846","0.999315883801052","0.786904595912335","0.727832692800477","0.602437425353353","0.479639356261575","0.491209153914046","-0.0770939463172106","0.0191998021314919","-0.756693655127249","2.15200860403218","1.3823567956208","1.26451700699532","1.60600881343636","1.89666388531078"
"2","5.14120863278707","mins","13","0.00477653424205316","0","0.11672240948668","0.215478566769431","0.338240308659718","0.476888886300309","0.622076251221464","0.476465794849236","0.352691905401094","0.26890042732271","0.172460581237137","0.271652796830362","-0.148494389468566","-0.0976399807876305","-0.698022173495959","1.42867007471386","1.03842212868955","0.892720923661593","1.11851716863872","1.42200554363017"
"3","39.5102402846018","mins","100","0.00427642735479413","0","0.0618180403293438","0.212332436888034","0.311898999518034","0.464543510247587","1.7536292918387","1.66932936108614","1.51515529308949","1.43709766751451","1.26141867458545","0.504968108241822","-0.0911282900964968","0.00842948666107501","-0.770452117592585","1.61260832913601","1.88055882680199","1.64091809738429","1.1920721804077","1.70175331482022"
"4","8.7070236325264","mins","22","0.00405155173048417","0","0.163594092017575","0.254114706276195","0.376502442297676","0.529888205178252","0.31931470414934","0.169384992290642","0.0449336378794024","-0.0604766073361186","-0.166039440555261","0.3911657704812","-0.0565109813748256","-0.129731373823013","-0.658783894883099","1.47388718276592","1.03824598906833","0.642328092204079","1.38078124243184","1.42403695249416"
"5","2.77518316507339","mins","7","0.00457057131784568","0","0.164603387568536","0.241819996798757","0.383956805843714","0.529741963737974","0.520257762319219","0.415060219786001","0.281427447239667","0.175056320783","0.0649930705485793","0.290308311934996","-0.348495158474567","-0.0704794156243427","-0.862081182372674","1.65665598115448","1.18039906201697","1.14939291616685","1.43105305265482","1.44233934921885"
"6","8.29578324953715","mins","21","0.0049278426440465","0","0.103238617286961","0.222485183320226","0.268325452682721","0.438035750572248","0.494694167338876","0.336516316261289","0.21376076964368","0.178204959079312","0.00210538535895402","0.451141593991238","-0.0264641281734107","-0.118384225797044","-0.754825779095101","1.70696327248528","1.07580370493561","1.05516897742952","1.23820089091142","1.49528090479302"
"7","9.14003803332647","mins","23","0.00467145865110467","0","0.137713216372324","0.228417180487045","0.31937834275606","0.431193619312629","0.410060552115249","0.272470301073341","0.173665294316728","0.0938137608202955","-0.0102048288758383","0.469425405108075","-0.0266814486862681","0.0543555806556297","-0.454136923297438","1.26675008963648","0.818521759887163","0.846701598268181","1.07570340532","1.07159614663471"
"8","22.2545822143555","mins","56","0.00443291660339793","0","0.146050256493164","0.310308263213067","0.409947250550836","0.536963864964903","0.567404396900323","0.433819466801407","0.268908291998405","0.199700296588575","0.0240611372259622","0.510652422491474","-0.179553912038096","-0.0612157534340996","-0.85727047045596","2.18369727742571","1.96096426584859","1.83514655631142","1.80657828209185","2.21667165184491"
"9","18.154998699824","mins","46","0.00430048663997679","0","0.150249530732181","0.215373232244154","0.33384398963732","0.48627743446581","0.799072571915894","0.655123129261368","0.590424825596265","0.478894235486662","0.324570099866327","0.465262880939128","-0.179157206228868","-0.0493493478919655","-0.66713091329012","1.94074443637453","1.49953235228306","1.56762732795914","1.5432337787149","1.82788081098919"
"10","15.1023108681043","mins","38","0.00495586415631337","0","0.106318054804991","0.212380076995286","0.316542054471002","0.438975187380274","0.113726221621167","-0.0024930315006558","-0.107289261406686","-0.206570927307427","-0.322065205128295","0.604307322205995","0.127284047092416","-0.0893985876453895","-0.740753704446861","1.48643102590517","1.04559791984577","1.11304592441678","1.13614118695203","1.54854955662481"
