"sampItr","time2converge","timeunits","noItr2converge","error","alpha_zip1_1","alpha_zip1_2","alpha_zip1_3","alpha_zip2_1","alpha_zip2_2","alpha_zip2_3","beta_zip1_1","beta_zip1_2","beta_zip2_1","beta_zip2_2","sigma2_1","sigma2_2","sigma2_3"
"1","4.44758549928665","mins","7","0.00495512245539464","0","0.0553141231042305","0.22197408032595","0.207980429871822","0.0754936032471004","-0.0893666000483201","0.530042283177678","0.0813901924313302","-0.140244458613428","-0.869693452583587","1.12140186544726","1.39343269920235","1.17146888750073"
"2","12.1109990676244","mins","19","0.00480266911906914","0","0.190004006010852","0.284751064034401","0.288506863648049","0.101337902228279","-0.0486942577446233","0.433223247437031","-0.186862849946336","-0.136125247558001","-0.866330130532514","1.51626503331129","1.31385109643118","1.48234752982571"
"3","19.8593878984451","mins","31","0.00302117504792929","0","0.101653977820514","0.258933297561508","0.318931894693423","0.185482805738833","0.0587247162562054","0.530618751627018","0.0365662267464951","-0.321307668832589","-1.0226701093355","1.40796641261229","0.825743429516948","1.22332662948847"
"4","38.2512553493182","mins","60","0.00260050952409268","0","0.143934540991568","0.331593116994877","-0.567624438841379","-0.70756275107808","-0.88419120773341","0.686889910629939","-0.0307769460763445","0.0820386587652346","-0.89323837301827","1.8026838486188","1.58301762510325","2.0194719401933"
"5","14.0412221670151","mins","22","0.00386535952038891","0","0.135407250739415","0.37950788575246","0.38027479338307","0.179464734719867","0.0267996884903009","0.278696403552823","-0.415679364412089","0.125287636139754","-0.770737115858089","1.91139932205525","1.47138908489704","1.99951021088898"
"6","14.1002088665962","mins","22","0.00438080889012951","0","0.126085372006356","0.265496011514567","0.316531878551745","0.215412037874062","0.0808425545372217","0.575743967419317","-0.0129574412572683","-0.436425855989668","-1.14070714171197","1.50458553581901","1.15366011655654","1.4308851697922"
"7","15.3369446158409","mins","24","0.00393492655488289","0","0.137450353279622","0.337423978299936","0.0152967209787032","-0.133840486875243","-0.327209963472238","0.500719233985238","-0.148957199736955","0.0810217317682","-0.693361625455278","1.74148023493922","1.32360647668209","1.68741226915456"
"8","46.6713713645935","mins","73","0.00436244040447864","0","0.253285174974387","0.548920047318664","-1.74289473667114","-1.97713818397521","-2.2536766331829","0.825943637926955","-0.171795152764887","-0.485715240673721","-1.66684391805024","3.61145505030617","2.87685170610121","5.0370089878327"
"9","17.2608779827754","mins","27","0.00457463199932744","0","0.190403440643862","0.289044133069213","0.172416005885838","-0.0348765744541484","-0.159592069791778","0.3863628236088","-0.126554009890377","-0.0470727639733728","-0.80675643523867","1.62972843548439","1.16293918872617","1.60288304806544"
"10","18.4676353812218","mins","29","0.00339475812382267","0","0.149773173780767","0.332145312677929","-0.192547069648328","-0.383851171714312","-0.539297893898485","0.612899822824826","-0.0151623371073668","-0.381439392627935","-1.4283527304811","2.35244236839408","2.27095231732663","2.69208075186327"
